# id,z0,z1,z2,z3
0,0.00002,0.00002,0.99971,0.00025
1,1.00000,0.00000,0.00000,0.00000
2,0.00224,0.13636,0.85916,0.00224
3,0.00305,0.00305,0.79248,0.20142
4,0.00004,0.00065,0.99927,0.00004
5,0.06393,0.37310,0.55149,0.01148
6,0.00016,0.99981,0.00001,0.00001
7,0.00000,0.00000,1.00000,0.00000
8,0.00129,0.00129,0.92454,0.07287
9,0.20142,0.00305,0.79248,0.00305
10,0.00305,0.79248,0.20142,0.00305
11,0.00000,0.00000,1.00000,0.00000
12,1.00000,0.00000,0.00000,0.00000
13,0.00001,0.00001,0.99981,0.00016
14,0.20142,0.79248,0.00305,0.00305
15,0.00001,0.99982,0.00001,0.00015
16,0.00113,0.99873,0.00007,0.00007
17,0.00000,1.00000,0.00000,0.00000
18,0.00000,0.00000,1.00000,0.00000
19,0.00000,1.00000,0.00000,0.00000
20,0.00000,0.00000,0.00000,1.00000
21,0.00000,0.00000,1.00000,0.00000
22,0.00000,1.00000,0.00000,0.00000
23,0.00000,0.00000,1.00000,0.00000
24,0.12964,0.10154,0.10200,0.66682
25,0.00000,1.00000,0.00000,0.00000
26,0.00000,1.00000,0.00000,0.00000
27,0.00007,0.99873,0.00007,0.00113
28,0.00000,0.00000,1.00000,0.00000
29,0.00000,1.00000,0.00000,0.00000
30,0.00000,0.00000,0.00000,1.00000
31,0.00001,0.00016,0.99981,0.00001
32,0.20142,0.79248,0.00305,0.00305
33,0.01597,0.96300,0.01884,0.00220
34,0.00000,1.00000,0.00000,0.00000
35,0.00000,1.00000,0.00000,0.00000
36,1.00000,0.00000,0.00000,0.00000
37,0.01371,0.09465,0.49498,0.39665
38,0.00109,0.93740,0.06042,0.00109
39,1.00000,0.00000,0.00000,0.00000
40,0.00000,0.00000,0.00000,1.00000
41,0.00015,0.00001,0.99982,0.00001
42,0.00002,0.99971,0.00025,0.00002
43,0.00000,0.00000,1.00000,0.00000
44,0.06550,0.49335,0.01185,0.42930
45,0.00305,0.20142,0.00305,0.79248
46,0.00364,0.03099,0.02806,0.93731
47,0.00000,1.00000,0.00000,0.00000
48,0.00000,0.00000,0.00000,1.00000
49,0.00025,0.00002,0.00002,0.99971
50,0.00016,0.00001,0.99981,0.00001
51,0.01177,0.55929,0.36024,0.06871
52,0.93731,0.02806,0.03099,0.00364
53,0.00000,0.00000,0.00000,1.00000
54,0.00126,0.97936,0.00929,0.01009
55,0.00002,0.99971,0.00002,0.00025
56,0.49253,0.06503,0.01181,0.43062
57,0.01145,0.06349,0.55073,0.37433
58,0.00131,0.07410,0.00131,0.92328
59,0.00025,0.00002,0.99971,0.00002
60,0.00000,0.00000,0.00000,1.00000
61,0.00801,0.00105,0.00795,0.98299
62,0.00000,1.00000,0.00000,0.00000
63,0.09142,0.08687,0.73525,0.08646
64,0.00000,0.00000,1.00000,0.00000
65,0.00001,0.00016,0.00001,0.99981
66,0.01177,0.55929,0.06871,0.36024
67,0.00305,0.20142,0.79248,0.00305
68,0.00000,0.00000,0.00000,1.00000
69,0.00801,0.98299,0.00105,0.00795
70,0.00000,1.00000,0.00000,0.00000
71,0.12570,0.87012,0.00209,0.00209
72,0.00000,0.00000,0.00000,1.00000
73,0.00129,0.00129,0.07287,0.92454
74,0.00000,1.00000,0.00000,0.00000
75,0.00000,0.00000,0.00000,1.00000
76,0.43062,0.49253,0.06503,0.01181
77,0.00305,0.00305,0.79248,0.20142
78,0.00000,1.00000,0.00000,0.00000
79,0.00002,0.99971,0.00025,0.00002
80,0.00016,0.00001,0.99981,0.00001
81,0.00000,0.00000,1.00000,0.00000
82,1.00000,0.00000,0.00000,0.00000
83,0.00000,1.00000,0.00000,0.00000
84,0.99982,0.00001,0.00001,0.00015
85,0.00016,0.00001,0.99981,0.00001
86,0.00000,0.00000,1.00000,0.00000
87,1.00000,0.00000,0.00000,0.00000
88,1.00000,0.00000,0.00000,0.00000
89,0.10916,0.88714,0.00185,0.00185
90,0.20142,0.00305,0.79248,0.00305
91,1.00000,0.00000,0.00000,0.00000
92,0.00948,0.00128,0.97901,0.01023
93,1.00000,0.00000,0.00000,0.00000
94,0.00109,0.93740,0.06042,0.00109
95,0.99981,0.00016,0.00001,0.00001
96,0.00004,0.99927,0.00065,0.00004
97,0.00000,0.00000,1.00000,0.00000
98,0.00305,0.79248,0.20142,0.00305
99,0.00015,0.00001,0.99982,0.00001
100,0.00001,0.00001,0.99982,0.00015
101,0.00000,1.00000,0.00000,0.00000
102,1.00000,0.00000,0.00000,0.00000
103,0.00000,0.00000,0.00000,1.00000
104,0.79248,0.20142,0.00305,0.00305
105,0.00131,0.07410,0.92328,0.00131
106,0.00000,1.00000,0.00000,0.00000
107,0.00000,0.00000,1.00000,0.00000
108,0.10504,0.11059,0.13364,0.65073
109,0.99981,0.00001,0.00016,0.00001
110,0.00000,0.00000,1.00000,0.00000
111,0.00000,0.00000,0.00000,1.00000
112,0.00001,0.00015,0.99982,0.00001
113,0.00000,0.00000,1.00000,0.00000
114,0.79248,0.00305,0.00305,0.20142
115,0.97936,0.01009,0.00126,0.00929
116,0.79248,0.00305,0.00305,0.20142
117,0.00016,0.99981,0.00001,0.00001
118,0.99971,0.00025,0.00002,0.00002
119,0.00000,0.00000,1.00000,0.00000
120,0.00000,1.00000,0.00000,0.00000
121,0.00000,0.00000,0.00000,1.00000
122,0.00002,0.00002,0.00025,0.99971
123,1.00000,0.00000,0.00000,0.00000
124,0.00016,0.00001,0.00001,0.99981
125,0.00001,0.00016,0.99981,0.00001
126,0.00000,0.00000,0.00000,1.00000
127,1.00000,0.00000,0.00000,0.00000
128,0.00000,0.00000,1.00000,0.00000
129,0.00000,0.00000,0.00000,1.00000
130,0.00948,0.01023,0.00128,0.97901
131,0.99971,0.00002,0.00025,0.00002
132,0.00236,0.02225,0.95964,0.01575
133,0.92454,0.07287,0.00129,0.00129
134,0.01009,0.00126,0.00929,0.97936
135,0.00000,0.00000,1.00000,0.00000
136,0.00001,0.99981,0.00001,0.00016
137,0.00015,0.00001,0.99982,0.00001
138,0.00000,0.00000,0.00000,1.00000
139,0.00000,0.00000,0.00000,1.00000
140,0.00000,0.00000,0.00000,1.00000
141,1.00000,0.00000,0.00000,0.00000
142,0.00000,0.00000,0.00000,1.00000
143,0.01177,0.55929,0.36024,0.06871
144,0.00000,0.00000,0.00000,1.00000
145,0.00948,0.97901,0.00128,0.01023
146,0.01913,0.00274,0.95325,0.02489
147,0.00000,1.00000,0.00000,0.00000
148,0.00015,0.00001,0.99982,0.00001
