# id,beta
0,4.01596
1,4.05113
2,2.45499
3,4.11924
4,4.86649
5,5.00595
6,3.85281
7,2.94107
8,5.04686
9,2.42924
10,2.55239
11,3.96889
12,1.66019
13,4.15446
14,6.62567
15,3.78531
16,4.99808
17,7.16845
18,1.26133
19,2.30083
20,4.02422
21,3.98321
22,2.46125
23,3.21744
24,5.32652
25,6.62567
26,3.19855
27,4.01543
28,2.01768
29,2.45308
30,4.09760
31,5.09475
32,5.08794
33,6.53788
34,3.04650
35,1.14456
36,3.00396
37,5.18079
38,2.44186
39,5.27612
40,4.23756
41,1.27248
42,2.33122
43,1.97349
44,5.11919
45,4.95207
46,10.98402
47,2.56389
48,2.52467
49,5.19682
50,5.01329
51,6.84694
52,4.04676
53,6.68932
54,3.17502
55,1.93722
56,6.70316
57,2.82197
58,6.84694
59,4.88115
60,3.80629
61,4.17889
62,5.14135
63,2.05894
64,3.33020
65,5.39304
66,3.90156
67,4.03064
68,4.91281
69,5.19867
70,4.98986
71,5.00654
72,2.51494
73,4.82788
74,5.01329
75,6.70316
76,5.21336
77,2.03230
78,3.85281
79,5.10168
80,3.18332
81,4.02684
82,1.79421
83,4.21559
84,1.99066
85,2.54409
86,5.08853
87,5.03544
88,3.15747
89,3.19025
90,5.14135
91,5.12622
92,4.00079
93,2.47613
94,3.16052
95,7.16845
96,3.04156
97,7.03108
98,3.91741
99,4.24935
100,3.08737
101,4.87464
102,4.14008
103,7.16845
104,0.94238
105,7.13521
106,5.46032
107,3.80637
108,3.92415
109,3.30543
110,1.70155
111,3.99306
112,2.44868
113,4.08625
114,5.23178
115,3.09646
116,5.06431
117,2.92409
118,3.19432
119,5.03784
120,3.80247
121,1.97645
122,3.18847
123,3.07446
124,5.10168
125,2.47242
126,3.70283
127,3.89298
128,2.15506
129,5.06014
130,2.36542
131,3.88607
132,1.50798
133,2.95995
134,3.20946
135,3.92902
136,2.00576
137,3.29350
138,6.71423
139,1.14075
140,4.08670
141,3.22769
142,4.06670
143,7.03108
144,4.15783
145,3.32443
146,3.12805
147,3.13801
148,1.78602
149,3.07407
150,5.20252
151,1.83929
152,3.86403
153,3.95201
154,3.76293
