# id,z0,z1
0,0.00000,1.00000
1,0.00000,1.00000
2,1.00000,0.00000
3,1.00000,0.00000
4,1.00000,0.00000
5,0.00000,1.00000
6,1.00000,0.00000
7,1.00000,0.00000
8,0.00000,1.00000
9,0.00000,1.00000
10,1.00000,0.00000
11,1.00000,0.00000
12,0.00000,1.00000
13,0.00000,1.00000
14,0.00000,1.00000
15,0.00000,1.00000
16,1.00000,0.00000
17,1.00000,0.00000
18,0.99997,0.00003
19,1.00000,0.00000
20,1.00000,0.00000
21,0.00000,1.00000
22,1.00000,0.00000
23,0.00000,1.00000
24,1.00000,0.00000
25,1.00000,0.00000
26,1.00000,0.00000
27,0.00000,1.00000
28,0.00000,1.00000
29,1.00000,0.00000
30,0.00000,1.00000
31,1.00000,0.00000
32,1.00000,0.00000
33,1.00000,0.00000
34,0.00000,1.00000
35,0.00017,0.99983
36,1.00000,0.00000
37,1.00000,0.00000
38,1.00000,0.00000
39,1.00000,0.00000
40,0.00000,1.00000
41,0.99997,0.00003
42,1.00000,0.00000
43,0.00000,1.00000
44,0.00000,1.00000
45,1.00000,0.00000
46,0.00000,1.00000
47,0.00000,1.00000
48,0.00000,1.00000
49,0.00000,1.00000
50,0.00000,1.00000
51,0.00000,1.00000
52,1.00000,0.00000
53,1.00000,0.00000
54,0.00000,1.00000
55,1.00000,0.00000
56,1.00000,0.00000
57,1.00000,0.00000
58,0.00000,1.00000
59,1.00000,0.00000
60,0.00000,1.00000
61,0.00000,1.00000
62,0.00000,1.00000
63,1.00000,0.00000
64,0.00000,1.00000
65,1.00000,0.00000
66,0.00000,1.00000
67,0.00000,1.00000
68,1.00000,0.00000
69,1.00000,0.00000
70,0.00000,1.00000
71,1.00000,0.00000
72,0.00000,1.00000
73,1.00000,0.00000
74,1.00000,0.00000
75,1.00000,0.00000
76,0.00000,1.00000
77,0.00000,1.00000
78,1.00000,0.00000
79,1.00000,0.00000
80,1.00000,0.00000
81,1.00000,0.00000
82,1.00000,0.00000
83,1.00000,0.00000
84,1.00000,0.00000
85,0.00000,1.00000
86,0.00000,1.00000
87,0.00000,1.00000
88,1.00000,0.00000
89,1.00000,0.00000
90,1.00000,0.00000
91,0.00000,1.00000
92,1.00000,0.00000
93,0.00000,1.00000
94,0.00000,1.00000
95,1.00000,0.00000
96,0.00000,1.00000
97,0.00000,1.00000
98,0.00000,1.00000
99,0.00000,1.00000
100,1.00000,0.00000
101,1.00000,0.00000
102,0.00000,1.00000
103,1.00000,0.00000
104,0.00330,0.99670
105,1.00000,0.00000
106,1.00000,0.00000
107,1.00000,0.00000
108,1.00000,0.00000
109,1.00000,0.00000
110,1.00000,0.00000
111,0.00000,1.00000
112,0.00000,1.00000
113,1.00000,0.00000
114,0.00000,1.00000
115,0.00000,1.00000
116,0.00000,1.00000
117,0.00000,1.00000
118,0.00000,1.00000
119,0.00000,1.00000
120,1.00000,0.00000
121,1.00000,0.00000
122,0.00000,1.00000
123,0.00000,1.00000
124,0.00000,1.00000
125,1.00000,0.00000
