# id,z0,z1,z2,z3
0,0.99007,0.00879,0.00057,0.00057
1,0.00000,0.00000,1.00000,0.00000
2,0.01189,0.10544,0.07451,0.80816
3,0.00039,0.99365,0.00558,0.00039
4,0.00000,0.00000,1.00000,0.00000
5,0.10544,0.01189,0.07451,0.80816
6,0.00000,0.00000,1.00000,0.00000
7,0.00011,0.99842,0.00135,0.00011
8,0.00000,0.00000,1.00000,0.00000
9,0.99842,0.00011,0.00135,0.00011
10,0.00000,1.00000,0.00000,0.00000
11,0.00047,0.99196,0.00710,0.00047
12,0.00000,0.00000,1.00000,0.00000
13,0.00000,1.00000,0.00000,0.00000
14,0.00000,0.00000,0.00000,1.00000
15,0.00000,0.00000,1.00000,0.00000
16,0.00057,0.99007,0.00879,0.00057
17,0.00000,0.00000,1.00000,0.00000
18,0.06622,0.01026,0.08581,0.83772
19,0.00000,1.00000,0.00000,0.00000
20,0.00000,1.00000,0.00000,0.00000
21,0.00000,0.00000,1.00000,0.00000
22,0.00000,1.00000,0.00000,0.00000
23,0.00000,0.00000,0.00000,1.00000
24,0.00558,0.00039,0.99365,0.00039
25,0.00135,0.99842,0.00011,0.00011
26,0.00000,1.00000,0.00000,0.00000
27,0.00879,0.99007,0.00057,0.00057
28,0.00000,1.00000,0.00000,0.00000
29,1.00000,0.00000,0.00000,0.00000
30,0.00047,0.99196,0.00047,0.00710
31,0.00741,0.44123,0.54394,0.00741
32,0.00000,0.00000,0.00000,1.00000
33,0.00000,1.00000,0.00000,0.00000
34,0.00000,0.00000,1.00000,0.00000
35,0.00011,0.00135,0.00011,0.99842
36,0.00011,0.00135,0.00011,0.99842
37,0.00000,1.00000,0.00000,0.00000
38,0.00000,0.00000,0.00000,1.00000
39,0.00000,0.00000,0.00000,1.00000
40,0.00047,0.00710,0.99196,0.00047
41,0.00011,0.00135,0.99842,0.00011
42,0.00000,0.00000,1.00000,0.00000
43,0.00000,0.00000,0.00000,1.00000
44,0.00011,0.00135,0.99842,0.00011
45,0.00713,0.39140,0.00713,0.59434
46,0.39140,0.00713,0.00713,0.59434
47,0.00011,0.99842,0.00011,0.00135
48,0.00039,0.00039,0.99365,0.00558
49,0.00000,0.00000,0.00000,1.00000
50,0.00000,0.00000,0.00000,1.00000
51,0.00000,1.00000,0.00000,0.00000
52,0.00000,0.00000,1.00000,0.00000
53,0.00011,0.00135,0.99842,0.00011
54,0.00000,0.00000,0.00000,1.00000
55,0.00730,0.41711,0.56830,0.00730
56,0.00000,1.00000,0.00000,0.00000
57,0.00000,0.00000,0.00000,1.00000
58,0.00011,0.00011,0.99842,0.00135
59,0.00000,1.00000,0.00000,0.00000
60,0.00000,0.00000,0.00000,1.00000
61,0.99842,0.00135,0.00011,0.00011
62,0.00011,0.00011,0.99842,0.00135
63,0.00000,1.00000,0.00000,0.00000
64,0.00000,1.00000,0.00000,0.00000
65,0.56830,0.00730,0.41711,0.00730
66,0.00000,0.00000,1.00000,0.00000
67,1.00000,0.00000,0.00000,0.00000
68,0.00000,1.00000,0.00000,0.00000
69,0.39140,0.00713,0.00713,0.59434
70,0.00000,0.00000,1.00000,0.00000
71,0.00000,0.00000,1.00000,0.00000
72,1.00000,0.00000,0.00000,0.00000
73,0.00000,1.00000,0.00000,0.00000
74,0.00135,0.00011,0.99842,0.00011
75,1.00000,0.00000,0.00000,0.00000
76,1.00000,0.00000,0.00000,0.00000
77,0.00730,0.41711,0.56830,0.00730
78,1.00000,0.00000,0.00000,0.00000
79,0.00000,0.00000,1.00000,0.00000
80,0.00011,0.99842,0.00135,0.00011
81,0.00000,0.00000,1.00000,0.00000
82,0.00000,1.00000,0.00000,0.00000
83,1.00000,0.00000,0.00000,0.00000
