# id,z0,z1
0,0.00002,0.99998
1,0.99998,0.00002
2,0.99998,0.00002
3,0.00002,0.99998
4,0.00002,0.99998
5,0.00002,0.99998
6,0.00002,0.99998
7,0.99998,0.00002
8,0.99998,0.00002
9,0.99998,0.00002
10,0.99998,0.00002
11,0.00002,0.99998
12,0.00002,0.99998
13,0.99998,0.00002
14,0.99998,0.00002
15,0.99998,0.00002
16,0.99998,0.00002
17,0.00002,0.99998
18,0.99998,0.00002
19,0.99998,0.00002
20,0.99998,0.00002
21,0.00002,0.99998
22,0.00002,0.99998
23,0.99998,0.00002
24,0.99998,0.00002
25,0.00002,0.99998
26,0.99998,0.00002
27,0.00002,0.99998
28,0.00002,0.99998
29,0.00002,0.99998
30,0.00002,0.99998
31,0.00002,0.99998
32,0.99998,0.00002
33,0.00002,0.99998
34,0.00002,0.99998
35,0.50000,0.50000
36,0.00002,0.99998
37,0.00002,0.99998
38,0.99998,0.00002
39,0.99998,0.00002
40,0.99998,0.00002
41,0.00002,0.99998
42,0.00002,0.99998
43,0.99998,0.00002
44,0.00002,0.99998
45,0.99998,0.00002
46,0.00002,0.99998
47,0.00002,0.99998
48,0.00002,0.99998
49,0.99998,0.00002
50,0.00002,0.99998
51,0.99998,0.00002
52,0.00002,0.99998
53,0.99998,0.00002
54,0.99998,0.00002
55,0.99998,0.00002
56,0.00002,0.99998
57,0.99998,0.00002
58,0.99998,0.00002
59,0.00002,0.99998
60,0.00002,0.99998
61,0.00002,0.99998
62,0.99998,0.00002
63,0.99998,0.00002
64,0.00002,0.99998
65,0.00002,0.99998
66,0.99998,0.00002
67,0.99998,0.00002
68,0.99998,0.00002
69,0.00002,0.99998
70,0.99998,0.00002
71,0.99998,0.00002
72,0.00002,0.99998
73,0.00002,0.99998
74,0.00002,0.99998
75,0.99998,0.00002
76,0.99998,0.00002
77,0.00002,0.99998
78,0.99998,0.00002
79,0.99998,0.00002
80,0.00002,0.99998
81,0.99998,0.00002
82,0.50000,0.50000
83,0.00002,0.99998
84,0.99998,0.00002
85,0.00002,0.99998
86,0.99998,0.00002
87,0.99998,0.00002
88,0.99998,0.00002
89,0.50000,0.50000
90,0.99998,0.00002
91,0.00002,0.99998
92,0.99998,0.00002
93,0.00002,0.99998
94,0.00002,0.99998
95,0.99998,0.00002
96,0.00002,0.99998
97,0.99998,0.00002
98,0.00002,0.99998
99,0.00002,0.99998
100,0.99998,0.00002
101,0.99998,0.00002
102,0.00002,0.99998
103,0.00002,0.99998
104,0.99998,0.00002
105,0.99998,0.00002
106,0.00002,0.99998
107,0.99998,0.00002
108,0.50000,0.50000
109,0.00002,0.99998
110,0.99998,0.00002
111,0.00002,0.99998
112,0.00002,0.99998
113,0.99998,0.00002
114,0.50000,0.50000
115,0.99998,0.00002
116,0.50000,0.50000
117,0.99998,0.00002
118,0.99998,0.00002
119,0.00002,0.99998
120,0.99998,0.00002
121,0.99998,0.00002
122,0.99998,0.00002
123,0.00002,0.99998
124,0.99998,0.00002
125,0.00002,0.99998
126,0.00002,0.99998
127,0.99998,0.00002
128,0.99998,0.00002
129,0.99998,0.00002
130,0.00002,0.99998
131,0.99998,0.00002
132,0.00002,0.99998
133,0.00002,0.99998
134,0.00002,0.99998
135,0.00002,0.99998
136,0.99998,0.00002
137,0.00002,0.99998
138,0.00002,0.99998
139,0.00002,0.99998
140,0.99998,0.00002
141,0.99998,0.00002
142,0.99998,0.00002
143,0.99998,0.00002
144,0.00002,0.99998
145,0.00002,0.99998
146,0.99998,0.00002
147,0.00002,0.99998
148,0.00002,0.99998
149,0.99998,0.00002
150,0.99998,0.00002
151,0.99998,0.00002
152,0.99998,0.00002
153,0.99998,0.00002
154,0.00002,0.99998
155,0.99998,0.00002
156,0.00002,0.99998
157,0.00002,0.99998
158,0.99998,0.00002
159,0.99998,0.00002
160,0.00002,0.99998
161,0.00002,0.99998
162,0.99998,0.00002
163,0.99998,0.00002
164,0.99998,0.00002
165,0.00002,0.99998
166,0.00002,0.99998
167,0.00002,0.99998
168,0.99998,0.00002
169,0.99998,0.00002
170,0.99998,0.00002
171,0.00002,0.99998
172,0.99998,0.00002
173,0.99998,0.00002
174,0.99998,0.00002
175,0.00002,0.99998
176,0.00002,0.99998
177,0.99998,0.00002
178,0.00002,0.99998
179,0.99998,0.00002
180,0.00002,0.99998
181,0.99998,0.00002
182,0.99998,0.00002
183,0.00002,0.99998
184,0.99998,0.00002
185,0.00002,0.99998
186,0.99998,0.00002
187,0.99998,0.00002
188,0.00002,0.99998
189,0.50000,0.50000
190,0.00002,0.99998
191,0.99998,0.00002
192,0.50000,0.50000
193,0.99998,0.00002
194,0.00002,0.99998
195,0.99998,0.00002
196,0.99998,0.00002
197,0.99998,0.00002
198,0.99998,0.00002
199,0.00002,0.99998
200,0.99998,0.00002
201,0.99998,0.00002
202,0.00002,0.99998
203,0.99998,0.00002
204,0.99998,0.00002
205,0.00002,0.99998
206,0.99998,0.00002
207,0.00002,0.99998
208,0.00002,0.99998
209,0.00002,0.99998
210,0.99998,0.00002
211,0.00002,0.99998
212,0.99998,0.00002
213,0.99998,0.00002
214,0.99998,0.00002
215,0.99998,0.00002
216,0.00002,0.99998
217,0.50000,0.50000
218,0.99998,0.00002
219,0.99998,0.00002
220,0.00002,0.99998
221,0.99998,0.00002
222,0.99998,0.00002
223,0.00002,0.99998
224,0.99998,0.00002
225,0.50000,0.50000
226,0.99998,0.00002
227,0.99998,0.00002
228,0.99998,0.00002
229,0.00002,0.99998
230,0.00002,0.99998
231,0.99998,0.00002
232,0.00002,0.99998
233,0.99998,0.00002
234,0.99998,0.00002
235,0.00002,0.99998
236,0.00002,0.99998
237,0.99998,0.00002
238,0.00002,0.99998
239,0.99998,0.00002
